subject,session_idx,date,stage,model,WBIC,n_trials,alpha,forget,lambda,Wmf,Winf,P,p_r
WT1,0,2020-01-07 09:13:51,4.8,hyb_inf,137.18182512412574,308,0.47650762042877687,0.38124987079744244,0.5522625814414863,2.7157167707847214,4.656865701210117,0.6151359300067096,0.3650224335995454
WT1,1,2020-01-08 09:12:32,4.8,hyb_inf,149.34706200132712,343,0.36370170688918346,0.47326890789526566,0.47413999384437283,2.5787734712407047,5.235019963819551,1.0121498961091708,0.3377202608066508
WT1,2,2020-01-09 09:08:36,4.8,hyb_inf,162.14252567754875,374,0.3434655155190264,0.45368664154046445,0.48425754397724513,2.500607864819416,5.117829261311185,0.773321040220335,0.2964315617598194
WT1,3,2020-01-10 09:23:07,4.8,hyb_inf,141.31534113902495,330,0.3620858361596007,0.4910327432375865,0.4646269650802157,2.69154211573928,5.4775535958319885,0.7916412111069289,0.30019238765566936
WT1,4,2020-01-11 09:11:53,4.8,hyb_inf,152.13045396763252,337,0.3586040189576544,0.4334732300054626,0.4710527439307695,2.416280675166014,4.811613944389413,0.6777059161454618,0.3176689996084181
WT1,5,2020-01-13 09:25:05,4.8,hyb_inf,132.48688488368876,318,0.39489570508395266,0.4127534861053209,0.5318319568585388,2.7289513275677924,5.342371344756088,0.8309555840473455,0.3062797547197841
WT1,6,2020-01-14 09:00:32,4.8,hyb_inf,137.31205672026022,349,0.4060299441481468,0.4473704280396194,0.4713991248952044,2.431145964269637,6.376484628808673,0.7617378959912586,0.2517335162776537
WT1,7,2020-01-15 08:54:56,4.8,hyb_inf,115.29900722349178,318,0.5189518866899028,0.4286956668045633,0.5570894734628898,2.738108853170873,5.821322290058188,1.032171075303881,0.2842805018708358
WT1,8,2020-01-16 09:07:00,4.8,hyb_inf,134.7220840597998,334,0.4078693977244934,0.4108038068564363,0.5123053341502796,2.5814910002059452,5.186052370163042,0.7302447551326596,0.2770558444667078
WT1,9,2020-01-17 09:29:45,4.8,hyb_inf,144.22052827795832,382,0.4370762411165408,0.44011472388173867,0.5099234097707875,2.4256004029395064,6.9128323971425605,0.8376736579724714,0.2538256789865705
WT1,10,2020-01-18 09:17:25,4.8,hyb_inf,136.58682508804534,327,0.3344704166686565,0.43645668050123376,0.44401709085168806,3.3550106796031973,4.703952248771764,0.8042438886963317,0.3692560374488347
WT2,0,2019-12-31 11:32:14,4.8,hyb_inf,174.85193772498977,382,0.2553236015411265,0.346169272469317,0.4683504489830767,3.5106546503853577,3.9050673058807766,0.48053469706454083,0.43212882104837325
WT2,1,2020-01-01 11:00:00,4.8,hyb_inf,196.08958556097505,399,0.3096524427378673,0.38225628161049535,0.48806185617564307,2.610574107051172,3.9073058841545016,0.516721093214269,0.4525696862366832
WT2,2,2020-01-02 11:00:01,4.8,hyb_inf,204.18682767515585,400,0.2988282161447826,0.40859190747725144,0.43848835535326836,2.288903457791901,3.8579765264289154,0.522970152836051,0.3929028776316901
WT2,3,2020-01-03 11:00:04,4.8,hyb_inf,206.891822759707,424,0.2824912114707225,0.38781453779869984,0.4347599638403197,2.5769337771227416,4.143399981543509,0.6192734177099058,0.37187745888418655
WT2,4,2020-01-04 11:00:02,4.8,hyb_inf,192.76462860755112,444,0.31630232002713665,0.42562993146460865,0.4612189064628093,2.328359810279286,6.034504637739337,0.5664186324985847,0.23847930638995699
WT2,5,2020-01-06 11:00:01,4.8,hyb_inf,152.00066810433827,370,0.3375200655457216,0.4124571342079455,0.46947665592231697,3.3482075963446523,4.588286199642449,0.9729256142237899,0.36688010383696285
WT2,6,2020-01-07 11:01:05,4.8,hyb_inf,154.56334942165074,416,0.3266620597446337,0.3857837100551725,0.4741082783097294,3.3354230864619465,5.424125442920032,0.8397566049107492,0.2358839162648033
WT2,7,2020-01-08 11:00:07,4.8,hyb_inf,159.3266000909903,404,0.31569246070528273,0.4390855987677628,0.4973509961467308,3.485440151631998,4.983023049226208,0.6539541561415595,0.31862391520642985
WT2,8,2020-01-09 11:00:01,4.8,hyb_inf,186.1728727955736,450,0.33264939587619025,0.43906088875676225,0.46658583132030523,2.5807814808120413,6.248938211353131,0.7317181665490395,0.2613129417072779
WT2,9,2020-01-10 11:08:45,4.8,hyb_inf,168.41086619172324,413,0.37586245763119097,0.43467625600308885,0.5010169338425339,2.807272434162178,5.517947229267828,0.7721287260883412,0.2940544141319306
WT2,10,2020-01-11 11:00:07,4.8,hyb_inf,178.3803660784508,462,0.2803729436449186,0.355366030866571,0.4029250825696519,3.0890459079222454,7.380738223929582,0.7410542988877477,0.22467014454312764
WT2,11,2020-01-13 11:04:47,4.8,hyb_inf,181.3350220524214,417,0.397098726576103,0.4099586029226291,0.4949970026117356,2.1836782715248804,6.451088723845685,0.6339416613993343,0.2718027808070296
WT2,12,2020-01-14 11:00:03,4.8,hyb_inf,178.2093648648061,473,0.2718758063484582,0.335429379100621,0.4647020251926238,3.413180516327073,5.555786735314482,0.549277801479508,0.2224025414500596
WT2,13,2020-01-15 10:51:12,4.8,hyb_inf,197.30108311096436,468,0.2672968484846294,0.35603364568878154,0.4556908702876585,3.171360552232727,5.3414553557806235,0.5376013076710476,0.25357211432540583
WT2,14,2020-01-16 10:48:53,4.8,hyb_inf,187.27110559657197,459,0.38361982235320663,0.4136460887013068,0.47256671863540634,2.6456544050402764,5.966916615416071,0.7108959679005762,0.2708156042285777
WT2,15,2020-01-17 11:07:02,4.8,hyb_inf,180.48908347049812,491,0.3407604118478899,0.41981030772420724,0.47833377540838273,3.141477155452305,6.210047810937462,0.8956486851360556,0.2617427662799821
