subject,session_idx,date,stage,model,WBIC,n_trials,alpha,forget,lambda,Wmf,Wmb,P
WT1,0,2019-12-26 09:42:54,4.7,hyb_p,106.39567537073408,229,0.2738111085605238,0.5625222382384228,0.4692812457521872,3.6326830861785413,3.236783775657727,0.504312640111616
WT1,1,2019-12-27 09:25:53,4.7,hyb_p,100.82375413317578,197,0.1923909126817245,0.5140624056909839,0.46305979822333493,3.9193335096769033,3.1780644216960687,0.4985126605864207
WT1,2,2019-12-28 09:37:17,4.7,hyb_p,83.4131334053335,224,0.22883122385439766,0.6063295123076418,0.49721782598609515,4.407215460224368,3.0717172915306086,1.838054311736997
WT1,3,2019-12-30 09:23:18,4.7,hyb_p,81.41127253629735,168,0.30950413921869435,0.5432991416826456,0.5091016998843174,3.5592853583892206,3.2154548936383596,0.330941111594716
WT1,4,2019-12-31 09:49:32,4.7,hyb_p,126.38884496989296,263,0.27208876936131904,0.6248589668750884,0.45620906722568827,2.7369063907099966,3.5614449339819654,0.49284933121715296
WT1,5,2020-01-01 09:02:33,4.7,hyb_p,145.24661524358964,302,0.28486438216222204,0.5574517074428058,0.43275798941578014,2.8072166864081654,3.490676718632154,0.017176078410184772
WT1,6,2020-01-02 09:19:31,4.7,hyb_p,146.18778130581344,297,0.24814889553517766,0.6171075707524016,0.4697389152557834,3.0315287381341944,3.614956254881985,0.4172920137740936
WT1,7,2020-01-03 09:14:07,4.7,hyb_p,119.04449907214446,266,0.2870180897735997,0.6127597914368504,0.4451581627732337,2.810867071266575,3.380139901564435,0.8056776718489972
WT1,8,2020-01-04 09:15:57,4.7,hyb_p,159.02258786441834,344,0.3742565454567637,0.532432009779492,0.4787226167818022,2.4497538670063563,3.680718557453212,-0.4517231273350986
WT1,9,2020-01-06 09:09:05,4.7,hyb_p,113.9113498348649,279,0.3546928087113046,0.5974967046724566,0.4527578870932239,3.2534191401250223,3.8009666369298665,0.5675174227097204
WT2,0,2019-12-28 11:25:17,4.7,hyb_p,177.70245817798389,354,0.2034891853778075,0.5243718114174123,0.45027312880918213,3.0658613663636034,3.3169155165845803,0.007745637855266489
WT2,1,2019-12-30 11:12:59,4.7,hyb_p,172.65581127457764,339,0.20889947855581764,0.4615866724328083,0.4451557398323118,2.9896872201222005,3.250641981640914,-0.28187258768721946
