subject,session_idx,date,stage,model,WBIC,n_trials,p_r,beta
WT1,0,2019-12-26 09:42:54,4.7,ls,43.64425797087422,229,0.4262331421815558,0.33210817301229417
WT1,1,2019-12-27 09:25:53,4.7,ls,39.29991731317527,197,0.5009116541480771,0.34541047187730395
WT1,2,2019-12-28 09:37:17,4.7,ls,43.28555843321564,224,0.5344853772638883,0.3478520351370803
WT1,3,2019-12-30 09:23:18,4.7,ls,33.48443107506776,168,0.3893762362257547,0.3192180266214987
WT1,4,2019-12-31 09:49:32,4.7,ls,48.84588616068576,263,0.43441166184084906,0.3359585532095621
WT1,5,2020-01-01 09:02:33,4.7,ls,52.72203026075825,302,0.31372281629685067,0.2906258496790053
WT1,6,2020-01-02 09:19:31,4.7,ls,54.2611058770825,297,0.44623711351988504,0.34011946650735436
WT1,7,2020-01-03 09:14:07,4.7,ls,48.899994699199794,266,0.38032810507546516,0.31842382547164616
WT1,8,2020-01-04 09:15:57,4.7,ls,55.96609314349778,344,0.22212172706770641,0.23631329986553
WT1,9,2020-01-06 09:09:05,4.7,ls,48.376063344424324,279,0.2724217524315904,0.2749614151185981
WT2,0,2019-12-28 11:25:17,4.7,ls,62.60696980961504,354,0.45046286222815207,0.34571648311286385
WT2,1,2019-12-30 11:12:59,4.7,ls,59.40761175836842,339,0.35076348274013003,0.3119827272671644
WT3,0,2019-12-30 13:00:32,4.7,ls,40.53676254802478,208,0.4562984496450053,0.33889707577694617
WT3,1,2019-12-31 13:21:37,4.7,ls,50.559968856384884,274,0.439492360207423,0.3380603973269214
WT3,2,2020-01-01 13:07:32,4.7,ls,60.02767734740577,350,0.3196381301132989,0.2951605742366389
WT4,0,2020-03-21 09:12:39,4.7,ls,48.530412047365836,259,0.4630025421406861,0.3462522821561489
WT4,1,2020-03-23 09:08:59,4.7,ls,47.64461950048273,254,0.4730495435749726,0.3430952551231884
WT4,2,2020-03-24 09:27:54,4.7,ls,59.41824092578577,333,0.5789803807163295,0.33798811947641494
WT4,3,2020-03-25 09:18:00,4.7,ls,66.47068894301222,379,0.5129962650447226,0.345479497079783
WT4,4,2020-03-26 09:24:39,4.7,ls,48.51370283091124,259,0.4580544036376293,0.34406526263009984
WT4,5,2020-03-27 09:30:39,4.7,ls,61.64425423691809,347,0.42632722302643666,0.33703612363145896
WT4,6,2020-03-28 09:25:59,4.7,ls,69.28757234878053,400,0.43309331078835933,0.34035807732036477
WT4,7,2020-03-30 09:26:19,4.7,ls,65.19701128692462,371,0.4259551787966189,0.33911760035296
WT5,0,2020-03-25 11:07:28,4.7,ls,59.02151642298911,329,0.44675907648862295,0.3413070261201467
WT5,1,2020-03-26 11:01:42,4.7,ls,49.553149612838695,266,0.4383695862797701,0.33953957901660814
WT5,2,2020-03-27 11:05:55,4.7,ls,62.87227211853995,359,0.39637330255497577,0.33014990046348436
WT5,3,2020-03-28 11:04:07,4.7,ls,59.46091607302628,347,0.30996226965616763,0.28860769376338247
WT5,4,2020-03-30 11:18:27,4.7,ls,44.83317511128314,234,0.47749309664002176,0.34381692264892444
WT6,0,2020-03-23 13:01:34,4.7,ls,52.51349703963405,283,0.5185067088736105,0.34657902830579473
WT6,1,2020-03-24 13:16:58,4.7,ls,63.00322100539378,357,0.4114395849681424,0.3370253861648431
WT6,2,2020-03-25 13:00:23,4.7,ls,63.37161504971877,362,0.38617667701959646,0.3262930427289548
WT6,3,2020-03-26 13:00:01,4.7,ls,66.91959776925692,387,0.4043060272323576,0.3362119822154453
WT6,4,2020-03-27 13:04:11,4.7,ls,60.725168041477495,372,0.23684686729151525,0.2502784643229055
WT6,5,2020-03-28 12:56:13,4.7,ls,43.82460985404231,234,0.3705161583126176,0.31703485707904416
WT6,6,2020-03-30 13:17:51,4.7,ls,63.66672228945134,376,0.30563153994440534,0.29371265801672386
