subject,session_idx,date,stage,model,WBIC,n_trials,p_r,eps
WT1,0,2020-01-07 09:13:51,4.8,ls,145.60498305069243,308,0.24199853143685307,0.18329275726199334
WT1,1,2020-01-08 09:12:32,4.8,ls,172.39742213891986,343,0.3208287698979962,0.24001410591992708
WT1,2,2020-01-09 09:08:36,4.8,ls,178.04314845005712,374,0.2249076928681438,0.19026721808027183
WT1,3,2020-01-10 09:23:07,4.8,ls,165.2032503087385,330,0.304490645104958,0.23530913327683373
WT1,4,2020-01-11 09:11:53,4.8,ls,159.21935248051224,337,0.2180340334244685,0.1829969717132703
WT1,5,2020-01-13 09:25:05,4.8,ls,153.70471360903983,318,0.23975696486330567,0.20674031381697397
WT1,6,2020-01-14 09:00:32,4.8,ls,161.58231417925742,349,0.20025370955753602,0.16859939157914242
WT1,7,2020-01-15 08:54:56,4.8,ls,147.36662767493237,318,0.20906048542314917,0.17132671096629387
WT1,8,2020-01-16 09:07:00,4.8,ls,152.72123976517025,334,0.20156537601062444,0.16350306522743346
WT1,9,2020-01-17 09:29:45,4.8,ls,171.68826857474383,382,0.17137515211374182,0.1428192731004677
WT1,10,2020-01-18 09:17:25,4.8,ls,167.40977812690136,327,0.3743775415035528,0.2642383288300464
WT2,0,2019-12-31 11:32:14,4.8,ls,187.44395922377458,382,0.26539184616350714,0.21427815022784502
WT2,1,2020-01-01 11:00:00,4.8,ls,199.70788775847683,399,0.29618870449203993,0.2395452563184697
WT2,2,2020-01-02 11:00:01,4.8,ls,207.6507965662144,400,0.41832057513989385,0.29068105171954195
WT2,3,2020-01-03 11:00:04,4.8,ls,217.83477956438728,424,0.36677842179097364,0.2732268447895968
WT2,4,2020-01-04 11:00:02,4.8,ls,217.26412803166917,444,0.2443405140395531,0.20619656110578427
WT2,5,2020-01-06 11:00:01,4.8,ls,189.211993556017,370,0.36615266137884217,0.2686790842869467
WT2,6,2020-01-07 11:01:05,4.8,ls,201.59717492776127,416,0.23204938152461033,0.20257472884600372
WT2,7,2020-01-08 11:00:07,4.8,ls,184.69534655038746,404,0.17658513213442395,0.16182708061099804
WT2,8,2020-01-09 11:00:01,4.8,ls,216.34190664151598,450,0.2338449950908918,0.1858383582635501
WT2,9,2020-01-10 11:08:45,4.8,ls,199.97662376313272,413,0.2386916616663852,0.19559418942555448
WT2,10,2020-01-11 11:00:07,4.8,ls,228.65328523617225,462,0.26427498483410466,0.21763043627997544
WT2,11,2020-01-13 11:04:47,4.8,ls,199.96843318751286,417,0.2262707228539062,0.19105061316075914
WT2,12,2020-01-14 11:00:03,4.8,ls,212.08086366432298,473,0.1608765182028633,0.14165770609680572
WT2,13,2020-01-15 10:51:12,4.8,ls,228.23811578196643,468,0.23894338951096528,0.20291624478725126
WT2,14,2020-01-16 10:48:53,4.8,ls,222.49948504692983,459,0.244868635143253,0.18595139661062876
WT2,15,2020-01-17 11:07:02,4.8,ls,240.21315619362588,491,0.23110956619881967,0.2043718277627722
WT2,16,2020-01-18 11:00:01,4.8,ls,188.87439364292683,406,0.1862810888383116,0.16460744059549934
WT3,0,2020-01-02 13:00:09,4.8,ls,181.28362409609952,353,0.38304887497499407,0.27781346852742383
WT3,1,2020-01-03 13:00:02,4.8,ls,194.28083327622247,372,0.4364015353223397,0.29562639679264396
WT3,2,2020-01-04 13:00:01,4.8,ls,181.4983356911557,357,0.3446538655961034,0.24893949032866605
WT3,3,2020-01-07 13:00:09,4.8,ls,199.4222104164618,390,0.34679330688834736,0.2654388838583216
WT3,4,2020-01-08 14:07:07,4.8,ls,210.45837518745012,404,0.4540844984533751,0.29820223061129186
WT3,5,2020-01-09 13:08:29,4.8,ls,189.21097857033186,380,0.2793482689844923,0.23938420359178686
WT3,6,2020-01-10 13:10:02,4.8,ls,186.97629587361695,367,0.34055957854925095,0.2628244175666761
WT3,7,2020-01-11 13:00:00,4.8,ls,177.65420869979476,368,0.2263252452912782,0.2049870140500344
WT3,8,2020-01-13 13:00:15,4.8,ls,170.84690552889757,330,0.42323985552780297,0.286521234078882
WT3,9,2020-01-14 13:08:00,4.8,ls,185.05437494988075,360,0.3718220007337614,0.27103180002680427
WT3,10,2020-01-15 12:43:34,4.8,ls,194.22439141717683,381,0.3372658522769973,0.2547555262231452
WT3,11,2020-01-16 12:45:33,4.8,ls,198.8279598346074,412,0.2235058085588487,0.20197924395547162
WT3,12,2020-01-17 12:56:59,4.8,ls,203.24142613028448,414,0.2477431222192868,0.22106508073768338
WT3,13,2020-01-18 12:57:33,4.8,ls,197.0827752733827,386,0.356113983987519,0.2658393516398512
WT4,0,2020-03-31 09:17:00,4.8,ls,187.72749295981367,370,0.3332617525027924,0.2540734893996788
WT4,1,2020-04-01 09:06:23,4.8,ls,228.728218637413,441,0.4021584047891492,0.28568378532480265
WT4,2,2020-04-02 09:36:56,4.8,ls,235.44834051917516,468,0.29200327899509937,0.24372973736107928
WT4,3,2020-04-03 09:10:40,4.8,ls,211.02819361207008,481,0.12420026144633761,0.13451279998298282
WT4,4,2020-04-04 09:21:12,4.8,ls,232.2946662948526,463,0.2947762044938549,0.23357167083091893
WT4,5,2020-04-06 09:20:56,4.8,ls,209.10702768463585,426,0.2595593299572621,0.2088994804821904
WT4,6,2020-04-07 09:08:29,4.8,ls,209.89441258480986,446,0.16666681856722457,0.1906693430312252
WT4,7,2020-04-08 09:10:22,4.8,ls,214.9800552581369,419,0.35801385042090705,0.27300838655822224
WT4,8,2020-04-10 09:06:58,4.8,ls,175.4969678912506,361,0.2463249526349558,0.21354291295045208
WT4,9,2020-04-11 09:09:52,4.8,ls,219.03878378571528,468,0.18026660488331808,0.17525360410573798
WT4,10,2020-04-13 09:07:22,4.8,ls,168.01071256116623,346,0.24179348939889309,0.2131983037226928
WT4,11,2020-04-14 09:10:43,4.8,ls,180.2382802144759,472,0.060283452395588084,0.11885977232225094
WT4,12,2020-04-15 08:58:47,4.8,ls,204.17288075421382,469,0.11800992697742715,0.13966639267926534
WT4,13,2020-04-16 09:00:43,4.8,ls,216.63591972961666,482,0.1413628096994028,0.15058183236064948
WT4,14,2020-04-17 09:20:26,4.8,ls,193.90359252367202,437,0.13311336061910692,0.1503055853016107
WT5,0,2020-03-31 10:54:09,4.8,ls,162.14213781056196,324,0.3027753713392716,0.24110191660154348
WT5,1,2020-04-01 10:50:07,4.8,ls,152.98918069203867,294,0.42435588334316837,0.28721212192712775
