subject,session_idx,date,stage,model,WBIC,n_trials,p_r,i_temp,P
WT1,0,2019-12-26 09:42:54,4.7,ls_asym_p,110.07791326946888,229,0.41838841002229094,1.991648191474329,1.2731508980456103
WT1,1,2019-12-27 09:25:53,4.7,ls_asym_p,92.92059411635685,197,0.5093159650085726,2.9010125817541708,0.6389702745005368
WT1,2,2019-12-28 09:37:17,4.7,ls_asym_p,77.41089044152835,224,0.4281568315941793,3.019154278831639,2.7401974998069933
WT1,3,2019-12-30 09:23:18,4.7,ls_asym_p,84.19208326481109,168,0.4217695254007549,2.0650189449880147,1.1022958601059645
WT1,4,2019-12-31 09:49:32,4.7,ls_asym_p,133.9449181517133,263,0.406885424765321,1.2771153628261775,1.2495655434743034
WT1,5,2020-01-01 09:02:33,4.7,ls_asym_p,158.3686519531488,302,0.42098717530273216,1.1441406112500323,0.9470761518170849
WT1,6,2020-01-02 09:19:31,4.7,ls_asym_p,151.1185300033348,297,0.45563703863053506,1.4521134274657352,1.0118402845353034
WT1,7,2020-01-03 09:14:07,4.7,ls_asym_p,124.99194433407197,266,0.3782209752997628,1.6169441104421,1.7210917403815158
WT1,8,2020-01-04 09:15:57,4.7,ls_asym_p,180.4653566338388,344,0.3702377277829658,1.2864112953560576,0.6880517024240234
WT1,9,2020-01-06 09:09:05,4.7,ls_asym_p,133.83885253630424,279,0.4245953414430424,1.0231438915803714,1.8367635455948466
WT2,0,2019-12-28 11:25:17,4.7,ls_asym_p,181.7245242094903,354,0.4144810505915388,1.6153014567015673,0.630484007163832
WT2,1,2019-12-30 11:12:59,4.7,ls_asym_p,183.68134472563554,339,0.4367980526966394,0.9893279020539263,0.4258832199280736
WT3,0,2019-12-30 13:00:32,4.7,ls_asym_p,115.52735005125543,208,0.4754341340598607,1.13463432872449,0.2858932719941456
WT3,1,2019-12-31 13:21:37,4.7,ls_asym_p,141.17194774924926,274,0.47038294152785315,0.9362372259563753,1.3059317828997645
WT3,2,2020-01-01 13:07:32,4.7,ls_asym_p,175.45225354339848,350,0.4250626743991126,0.9762664171824535,1.3849047902567995
WT4,0,2020-03-21 09:12:39,4.7,ls_asym_p,139.95403709992837,259,0.49890190794061773,0.9088428224204297,0.8889056866611729
WT4,1,2020-03-23 09:08:59,4.7,ls_asym_p,139.2810637920807,254,0.4717340903527103,0.8707783838876199,0.6176894173645942
WT4,2,2020-03-24 09:27:54,4.7,ls_asym_p,177.0807663645275,333,0.5092672406854201,1.1172770963400336,0.6664130276441146
WT4,3,2020-03-25 09:18:00,4.7,ls_asym_p,198.9140368925474,379,0.5135896350654011,1.271153313205076,0.5714485594232178
WT4,4,2020-03-26 09:24:39,4.7,ls_asym_p,141.0085614239074,259,0.47146224944938664,0.9085749940772843,0.7121568526134074
WT4,5,2020-03-27 09:30:39,4.7,ls_asym_p,185.65089078132414,347,0.4250613777029997,1.040861844441871,0.6792603126304779
WT4,6,2020-03-28 09:25:59,4.7,ls_asym_p,211.90438092389573,400,0.45898664190916666,0.8036259067032284,0.8334702088248713
WT4,7,2020-03-30 09:26:19,4.7,ls_asym_p,189.64727757473483,371,0.4008571597942096,1.738931882537459,0.5214428626020785
WT5,0,2020-03-25 11:07:28,4.7,ls_asym_p,179.05793899559026,329,0.4881462712081701,0.8025595321076385,0.6191533212831409
WT5,1,2020-03-26 11:01:42,4.7,ls_asym_p,141.0187360686397,266,0.43698740197608893,1.4313029901834498,0.6586184723839055
WT5,2,2020-03-27 11:05:55,4.7,ls_asym_p,185.67675192720836,359,0.436409836868763,1.0215782987189805,1.0762034084620118
WT5,3,2020-03-28 11:04:07,4.7,ls_asym_p,178.38816113839604,347,0.39416573331197036,1.1809773794512957,1.0314007738864592
WT5,4,2020-03-30 11:18:27,4.7,ls_asym_p,118.5614444102311,234,0.4617087768687896,0.8981572408097241,1.69075535942949
WT6,0,2020-03-23 13:01:34,4.7,ls_asym_p,142.18308737555256,283,0.4989102942326023,0.8512538922990617,1.599909638513523
WT6,1,2020-03-24 13:16:58,4.7,ls_asym_p,184.52048906122457,357,0.4404199202078816,0.9748145220357767,1.1400590037707237
WT6,2,2020-03-25 13:00:23,4.7,ls_asym_p,174.01947424425967,362,0.449886147920235,1.146212006214068,1.6426113471160528
WT6,3,2020-03-26 13:00:01,4.7,ls_asym_p,191.78290136063038,387,0.4259097946967498,0.9639739484127755,1.516740310952765
WT6,4,2020-03-27 13:04:11,4.7,ls_asym_p,165.3632347085897,372,0.3972719831262917,1.4050816021758188,2.053557065905411
WT6,5,2020-03-28 12:56:13,4.7,ls_asym_p,98.27786706173615,234,0.44194448823369115,1.381643553487584,2.578626963658369
WT6,6,2020-03-30 13:17:51,4.7,ls_asym_p,167.10390028796465,376,0.3904130085722788,1.3665589296372338,2.1176384009696823
