subject,session_idx,date,stage,model,WBIC,n_trials,alpha,forget,Wmb,P
WT1,0,2019-12-26 09:42:54,4.7,mb_p,107.99922275809034,229,0.366175174431948,0.5220855739278982,3.2777998316779504,1.0166036494584985
WT1,1,2019-12-27 09:25:53,4.7,mb_p,101.89491457722687,197,0.3478665594574693,0.5072408540439276,2.774010316725287,0.8518203882812828
WT1,2,2019-12-28 09:37:17,4.7,mb_p,85.33716919149369,224,0.32284838715933417,0.575604938576957,2.9623769693925888,2.49849156116275
WT1,3,2019-12-30 09:23:18,4.7,mb_p,81.93064238383526,168,0.43259429505603114,0.5211243758620837,3.2514363898786036,0.8067097205168653
WT1,4,2019-12-31 09:49:32,4.7,mb_p,123.39098918803245,263,0.437951727222556,0.6035635951344741,3.232727095508811,0.7226068414267222
WT1,5,2020-01-01 09:02:33,4.7,mb_p,143.19723162815836,302,0.4312968047402287,0.49847197239327534,3.4145094754674146,0.26912259537446664
WT1,6,2020-01-02 09:19:31,4.7,mb_p,144.05415791715117,297,0.4413891784720217,0.5765872469025181,3.079465597198177,0.7529773353660298
WT1,7,2020-01-03 09:14:07,4.7,mb_p,116.95660047202318,266,0.42000644645475566,0.5464494703813307,3.278335213249384,1.1945989979227016
WT1,8,2020-01-04 09:15:57,4.7,mb_p,155.63256778607007,344,0.5120295179474806,0.4481421691961084,3.8554896376319214,-0.08365836495971368
WT1,9,2020-01-06 09:09:05,4.7,mb_p,114.22698852954336,279,0.40968291760080133,0.49437832486225197,4.2395547478335,1.1707629299122142
WT2,0,2019-12-28 11:25:17,4.7,mb_p,177.3059133909717,354,0.3417530615345807,0.4887167547396756,3.129854796720143,0.279545903093596
WT2,1,2019-12-30 11:12:59,4.7,mb_p,170.9270991482069,339,0.3915396405065152,0.4513092615018262,2.887154383053341,-0.09323718481714531
WT3,0,2019-12-30 13:00:32,4.7,mb_p,109.28510677451501,208,0.3807323256114094,0.5272805376978303,2.8846564236176215,-0.08861204052071807
WT3,1,2019-12-31 13:21:37,4.7,mb_p,132.67675002266526,274,0.3360229193765449,0.48417527228069046,3.1416232557041477,0.8672855472764874
WT3,2,2020-01-01 13:07:32,4.7,mb_p,156.62876169355008,350,0.4200887381008724,0.5394779726744594,3.6250849816009327,0.7861371692278091
WT4,0,2020-03-21 09:12:39,4.7,mb_p,135.86694089533293,259,0.3541792049266504,0.5094720035453366,2.2329276681042316,0.5852371967337732
WT4,1,2020-03-23 09:08:59,4.7,mb_p,133.0861995135712,254,0.3425059455168986,0.5108023390746985,2.729782291266436,0.34548418737440034
WT4,2,2020-03-24 09:27:54,4.7,mb_p,175.15031363811266,333,0.2888764491178686,0.5910362626351294,2.389236955188233,0.45546932429784487
WT4,3,2020-03-25 09:18:00,4.7,mb_p,195.50280576890455,379,0.27738823054679296,0.4874842109871285,2.8749882157497963,0.343075944443697
WT4,4,2020-03-26 09:24:39,4.7,mb_p,131.94655354319465,259,0.2952015257803878,0.46733107159177817,3.397779409087672,0.3943504447806567
WT4,5,2020-03-27 09:30:39,4.7,mb_p,176.27242306284145,347,0.30989020262115796,0.4270816577600057,2.796107296200516,0.37242893520479575
WT4,6,2020-03-28 09:25:59,4.7,mb_p,200.86145582572945,400,0.35119633122140165,0.5353091265244632,2.7123241470962243,0.46965911727685106
WT4,7,2020-03-30 09:26:19,4.7,mb_p,188.05244938099375,371,0.3952988173052824,0.5179581369149493,2.744652862877795,0.39172441509560335
WT5,0,2020-03-25 11:07:28,4.7,mb_p,168.55573162148096,329,0.2915004690060674,0.4864883108206362,3.273176550902925,0.20581867358310002
WT5,1,2020-03-26 11:01:42,4.7,mb_p,134.52336124681702,266,0.30725377003817816,0.4913639401029023,3.091649825040561,0.29540135614669427
WT5,2,2020-03-27 11:05:55,4.7,mb_p,174.3638992293077,359,0.3582602511620677,0.46873062897475654,3.0428702240934964,0.7036411007514614
WT5,3,2020-03-28 11:04:07,4.7,mb_p,158.01117548046412,347,0.42783958744726164,0.5285287318019762,3.8800712179677923,0.3166296268994915
WT5,4,2020-03-30 11:18:27,4.7,mb_p,106.42511559361463,234,0.32346984906818654,0.5111681853029251,4.0480959497803815,1.0140067719197905
WT6,0,2020-03-23 13:01:34,4.7,mb_p,136.59185972450888,283,0.3383291532718031,0.5282941684477054,2.7065455765897806,1.3256073310287497
WT6,1,2020-03-24 13:16:58,4.7,mb_p,174.27077574564944,357,0.355807115583959,0.4475826070023576,2.9103092329737144,0.7100333841829555
WT6,2,2020-03-25 13:00:23,4.7,mb_p,166.38368521446043,362,0.3880578134212504,0.5346222105009877,2.747529514341903,1.2679178025407385
WT6,3,2020-03-26 13:00:01,4.7,mb_p,177.11470647874606,387,0.36595639446628914,0.574459839010748,3.3748042731360957,0.9616212246183531
WT6,4,2020-03-27 13:04:11,4.7,mb_p,147.7569889681144,372,0.4565418135611661,0.6114321448592717,3.9183298957158206,1.1690333338443504
WT6,5,2020-03-28 12:56:13,4.7,mb_p,87.50218731797008,234,0.4107339711376144,0.4540326093379165,3.6029836172468355,1.9738575068845097
WT6,6,2020-03-30 13:17:51,4.7,mb_p,151.29732185037335,376,0.4549412584245765,0.5217334219517611,3.341524033435681,1.5750842745410556
