subject,session_idx,date,stage,model,WBIC,n_trials,alpha,forget,lambda,Wmf,P
WT1,0,2019-12-26 09:42:54,4.7,mf_p,106.35084888984109,229,0.40044798259442976,0.5038287969665364,0.4759151645617382,3.4485277340395966,0.5735538992609845
WT1,1,2019-12-27 09:25:53,4.7,mf_p,99.80960506753122,197,0.3174113488662628,0.46971922002693867,0.45576363620130295,3.4657801854095034,0.46665340141329714
WT1,2,2019-12-28 09:37:17,4.7,mf_p,81.43376827931154,224,0.3608362778021142,0.5582612952340921,0.4901756998075445,3.9368934952404198,1.8533211996732157
WT1,3,2019-12-30 09:23:18,4.7,mf_p,81.24921910020018,168,0.3750815635740867,0.5057318534131487,0.5270973213430956,3.6690469411721893,0.3904626212189736
WT1,4,2019-12-31 09:49:32,4.7,mf_p,129.0273137231734,263,0.37458886032376126,0.5185193271003403,0.47337099749567024,2.7066258417917184,0.7068767298239127
WT1,5,2020-01-01 09:02:33,4.7,mf_p,148.25204718236824,302,0.3935151687230129,0.48117249167061005,0.4336255210224438,2.9648064177852564,0.19494230678772098
WT1,6,2020-01-02 09:19:31,4.7,mf_p,148.85190879056017,297,0.31297462577571916,0.5225924416207139,0.4847417544323879,3.004330054376712,0.5723470004266427
WT1,7,2020-01-03 09:14:07,4.7,mf_p,121.33443191829726,266,0.3693608626596285,0.5419867044351308,0.46304164338590975,2.941477520801148,0.9764163861204918
WT1,8,2020-01-04 09:15:57,4.7,mf_p,167.79852029584035,344,0.39647135021883356,0.49060243579931545,0.5171736498555731,3.298058858697024,-0.1944129293506934
WT1,9,2020-01-06 09:09:05,4.7,mf_p,119.0248653222512,279,0.4238827439798747,0.5162415529463446,0.4831007564645025,3.7020325953521738,0.7598073327998611
WT2,0,2019-12-28 11:25:17,4.7,mf_p,178.91684450162086,354,0.3271822248248223,0.4814583323288344,0.46006103827903916,2.9327247653501365,0.0987667417121326
WT2,1,2019-12-30 11:12:59,4.7,mf_p,174.83347304087934,339,0.3073364616765967,0.4277648336177621,0.44146595902697133,3.00027280443358,-0.14477676819095447
WT3,0,2019-12-30 13:00:32,4.7,mf_p,109.53477381137408,208,0.3556815693684036,0.5330957484512202,0.48208127968592773,2.938738286777504,-0.32092229345696377
WT3,1,2019-12-31 13:21:37,4.7,mf_p,130.3406666559637,274,0.3159781230071437,0.4561067638565562,0.457086582474628,3.649884871113416,0.5169036458977152
WT3,2,2020-01-01 13:07:32,4.7,mf_p,163.7382908240407,350,0.35574251280840563,0.47299853690613425,0.4244535626127426,3.1873046059999544,0.6544085737495796
WT4,0,2020-03-21 09:12:39,4.7,mf_p,135.1299912516737,259,0.3088853922351818,0.5159516802153177,0.47035113943178913,2.659602610204615,0.39793115498127146
WT4,1,2020-03-23 09:08:59,4.7,mf_p,132.4531557189173,254,0.32237018308573,0.5021450015452366,0.4661693913166199,3.1179802980467626,0.12106914985783498
WT4,2,2020-03-24 09:27:54,4.7,mf_p,174.1364598119993,333,0.23229398854391736,0.513456328579648,0.42960576129242567,3.073942147685565,0.3011041418826378
WT4,3,2020-03-25 09:18:00,4.7,mf_p,191.3481628403892,379,0.2397521682852767,0.4424682783698198,0.46219516595679094,3.57116975237211,0.1438879199262639
WT4,4,2020-03-26 09:24:39,4.7,mf_p,126.94326357857258,259,0.2573023267632432,0.4084202760831974,0.4358461845478413,4.41495182115163,0.005123503026843835
WT4,5,2020-03-27 09:30:39,4.7,mf_p,174.59948579776662,347,0.278492489675134,0.45382955989497503,0.46522208529576825,3.307633032523265,0.03093390439104166
WT4,6,2020-03-28 09:25:59,4.7,mf_p,205.1684487349699,400,0.27160253953163394,0.4753400301446867,0.4424661251522864,2.671187032133183,0.3861016102787393
WT4,7,2020-03-30 09:26:19,4.7,mf_p,190.6642631718304,371,0.29057121477836745,0.45017403615859247,0.43086353252869464,2.9610473989447272,0.2346296756541926
WT5,0,2020-03-25 11:07:28,4.7,mf_p,163.07213641520698,329,0.30990871925383956,0.4564218849466062,0.436079028125706,3.6522459312352433,-0.15418669649594755
WT5,1,2020-03-26 11:01:42,4.7,mf_p,130.70207337386424,266,0.30648979801335263,0.4654401951113974,0.4660238929879476,3.583734666390255,-0.11094187539609913
WT5,2,2020-03-27 11:05:55,4.7,mf_p,169.28004133647244,359,0.4151191757071154,0.5082415366035673,0.4511778440936574,3.516396248726367,0.18693137206481525
WT5,3,2020-03-28 11:04:07,4.7,mf_p,165.16593182097358,347,0.41113204958089433,0.489228242063738,0.4919988461297054,3.316121079329871,0.02921389499453115
WT5,4,2020-03-30 11:18:27,4.7,mf_p,102.99711124641944,234,0.36855631206721745,0.4873154709043066,0.4852906367527931,4.059941235270657,0.6204846305060205
WT6,0,2020-03-23 13:01:34,4.7,mf_p,134.38287432347582,283,0.3150047773412161,0.4935328822032139,0.48702338245534293,3.1798619141627156,0.9802863694182165
WT6,1,2020-03-24 13:16:58,4.7,mf_p,173.34385355290627,357,0.28203682742328307,0.41458903409477404,0.5057995585033765,3.1643093230973593,0.5095692265640709
WT6,2,2020-03-25 13:00:23,4.7,mf_p,168.98772752454389,362,0.35342670066457277,0.5628972390309915,0.49806229395333096,2.8128602946535834,0.9589593438271774
WT6,3,2020-03-26 13:00:01,4.7,mf_p,179.17089028247898,387,0.35028621303645363,0.480328258259604,0.46699049537141035,3.1883570856925942,0.6454977209240533
WT6,4,2020-03-27 13:04:11,4.7,mf_p,146.4827757857041,372,0.5489817407220817,0.6590160912134212,0.5327282854813989,3.6247971034083446,0.6122519632426845
WT6,5,2020-03-28 12:56:13,4.7,mf_p,85.1854048452498,234,0.4456486375366981,0.4979194746742858,0.5524289882921978,3.809729838651031,1.3702928321781531
WT6,6,2020-03-30 13:17:51,4.7,mf_p,156.8028291448385,376,0.35114958336615604,0.4400723976929215,0.5384311651209174,3.3624153461333908,1.156352141114293
