subject,session_idx,date,stage,model,WBIC,n_trials,alpha,tmp,P
WT1,0,2019-12-20 16:00:06,4.6,rac_p,56.234763638378205,97,0.3880697166523585,0.6256824895811931,-0.15280901081800236
WT1,1,2019-12-21 09:33:10,4.6,rac_p,84.28281004046484,157,0.3913537624156569,0.9970917190441625,0.3532815242690648
WT1,2,2019-12-23 09:30:55,4.6,rac_p,115.14573168130151,215,0.3133621304204794,1.2814006140379315,-0.22565536136864983
WT1,3,2019-12-24 09:39:26,4.6,rac_p,108.73633240663489,207,0.3596838585301896,1.1236955575647343,0.4143660740538896
WT1,4,2019-12-25 09:38:22,4.6,rac_p,128.64109005039097,247,0.42868476997995064,1.0959185536335148,0.5146066874053232
WT2,0,2019-12-18 17:03:09,4.6,rac_p,52.40745049603364,96,0.370118970817462,1.1907510933170131,-0.6615283917660207
WT2,1,2019-12-19 10:20:58,4.6,rac_p,37.2945420884291,64,0.4783854224722949,1.05205719016923,-0.19748152436410654
WT2,2,2019-12-19 17:05:45,4.6,rac_p,64.60380044908703,115,0.33933038036496416,1.0273540821228475,-0.23951745579082367
WT2,3,2019-12-20 10:14:50,4.6,rac_p,54.30363768625945,104,0.4727340684085441,1.7771138031255438,0.10647456778194374
WT2,4,2019-12-20 17:00:08,4.6,rac_p,57.063377214714556,104,0.37660131821747145,1.0906076784916456,0.9359984507081625
WT2,5,2019-12-21 11:14:23,4.6,rac_p,104.13419160504678,189,0.46477311751698136,0.5095756581315775,0.17823556855808045
WT2,6,2019-12-23 11:36:56,4.6,rac_p,140.20127237630712,271,0.38255877221220014,1.1067176847947569,-0.6511746152761827
WT2,7,2019-12-24 11:23:40,4.6,rac_p,159.49068973142437,297,0.3766245974509416,0.7485799335731789,0.0563682566823324
WT2,8,2019-12-25 11:35:03,4.6,rac_p,103.77467716241696,203,0.3057312417911852,1.3805488552591727,0.6830236442488155
WT2,9,2019-12-26 11:23:18,4.6,rac_p,153.15368135106664,284,0.41296735509898813,0.5494039923609612,-0.6012383516962023
WT2,10,2019-12-27 11:07:56,4.6,rac_p,195.80852480050999,368,0.4471750844509527,0.6436831436920288,0.08866892923063334
WT3,0,2019-12-19 11:09:28,4.6,rac_p,42.36997024806376,73,0.32900689348588674,1.0863585917551302,0.783340943349079
WT3,1,2019-12-19 18:00:01,4.6,rac_p,35.20040517521348,66,0.40539088691892844,1.5302212002348254,-0.639455150202963
WT3,2,2019-12-20 11:16:09,4.6,rac_p,60.18224096343982,107,0.36655278453771106,1.2055466146480653,0.04799483764156711
WT3,3,2019-12-20 18:00:01,4.6,rac_p,86.30227029180308,159,0.330858073676856,0.9040021470878374,0.949988067637721
WT3,4,2019-12-21 13:01:59,4.6,rac_p,80.24620738221893,146,0.3760069807698261,0.876900128348057,0.5259069689586857
WT3,5,2019-12-23 13:21:20,4.6,rac_p,53.84706379649807,99,0.3734400774587545,1.413570106893147,0.9290496630053336
