model,stage,n_sessions,n_mice,n_trials_total,WBIC_mean,WBIC_std,wbic_per_trial_mean,wbic_per_trial_std,wbic_per_trial_mice_mean,wbic_per_trial_mice_std,wbic_per_trial_mice_sem,wbic_per_trial_mean_pm_std,wbic_per_trial_mice_mean_pm_std
hyb_inf,4.2,6,6,549,19.66453368326156,6.781702309384868,0.2170237158898012,0.01462674793510557,0.2170237158898012,0.01462674793510557,0.005971344839552684,0.217 ± 0.0146,0.217 ± 0.0146
hyb_inf,4.3,6,6,528,19.128257532417905,2.951300056131002,0.21727192386635855,0.013675776329918917,0.21727192386635855,0.013675776329918917,0.005583112307455563,0.2173 ± 0.0137,0.2173 ± 0.0137
hyb_inf,4.4,6,6,547,19.817901488056183,4.7442971652687715,0.2223084955393292,0.021880941323919288,0.2223084955393292,0.021880941323919288,0.008932856889230146,0.2223 ± 0.0219,0.2223 ± 0.0219
hyb_inf,4.5,7,6,661,35.872011133045845,13.247369288036062,0.3798969379775409,0.03909500833527756,0.38270120536701385,0.03972666200562086,0.016218341849630415,0.3799 ± 0.0391,0.3827 ± 0.0397
hyb_inf,4.6,44,6,8130,96.28712902440007,41.4593585864517,0.52410868208796,0.046985405753503365,0.5169466258064153,0.029103794220964072,0.011881574236720635,0.5241 ± 0.047,0.5169 ± 0.0291
hyb_inf,4.7,35,6,10602,143.8133785168452,32.813685326189436,0.474068774872476,0.042767018396606925,0.4797361930345286,0.029062758069997138,0.01186482129824117,0.4741 ± 0.0428,0.4797 ± 0.0291
hyb_inf,4.8,89,6,34957,161.12391195430263,23.70420449130279,0.4119072223711755,0.047462628192775386,0.4126039389168203,0.033591017792434154,0.01371347558870245,0.4119 ± 0.0475,0.4126 ± 0.0336
hyb_p,4.2,6,6,549,20.075173672873174,6.8048985295124504,0.2223710616764176,0.009934681368479272,0.2223710616764176,0.009934681368479272,0.004055816684984853,0.2224 ± 0.0099,0.2224 ± 0.0099
hyb_p,4.3,6,6,528,17.9478732872558,2.4373082427397375,0.20488315059835685,0.01823880323092192,0.20488315059835685,0.01823880323092192,0.007445960239130658,0.2049 ± 0.0182,0.2049 ± 0.0182
hyb_p,4.4,6,6,547,19.308657282404024,5.623919805741094,0.21339045551645777,0.010898292105847961,0.21339045551645777,0.010898292105847961,0.004449209121188244,0.2134 ± 0.0109,0.2134 ± 0.0109
hyb_p,4.5,7,6,661,36.881033966448214,12.821432178408186,0.3946648732127981,0.01955059484019917,0.3922602457113109,0.018351023922451488,0.007491774144602272,0.3947 ± 0.0196,0.3923 ± 0.0184
hyb_p,4.6,44,6,8130,97.35781867309537,40.21578844192655,0.5330156237509857,0.030534229221837034,0.5253195102404814,0.024909505554641487,0.010169263058982513,0.533 ± 0.0305,0.5253 ± 0.0249
hyb_p,4.7,35,6,10602,143.52695363585647,32.390794714922855,0.47349897678977576,0.04224805683967207,0.4784130969119175,0.02834581064168481,0.011572128736280198,0.4735 ± 0.0422,0.4784 ± 0.0283
hyb_p,4.8,89,6,34957,160.09675726561608,23.835104854052112,0.4091968523853202,0.04732911889371126,0.4097411187899596,0.033576473450524606,0.013707537885981955,0.4092 ± 0.0473,0.4097 ± 0.0336
ls,4.2,6,6,549,15.898614541644065,6.346544236671884,0.17332808775442363,0.007377725937516338,0.17332808775442363,0.007377725937516338,0.0030119440015019443,0.1733 ± 0.0074,0.1733 ± 0.0074
ls,4.3,6,6,528,15.318414179634999,2.1639281237298063,0.17408008929797636,0.0029477640103140576,0.17408008929797636,0.0029477640103140576,0.0012034196179016147,0.1741 ± 0.0029,0.1741 ± 0.0029
ls,4.4,6,6,547,16.036746080443177,5.151575612363358,0.17608441706588293,0.004683374740373267,0.17608441706588293,0.004683374740373267,0.001911979731359027,0.1761 ± 0.0047,0.1761 ± 0.0047
ls,4.5,7,6,661,32.67796540770665,12.362340009762473,0.3437464100384777,0.010300715143703306,0.3449315403866655,0.004574737291646432,0.0018676286786359414,0.3437 ± 0.0103,0.3449 ± 0.0046
ls,4.6,44,6,8130,96.03328013219007,41.670584443816814,0.5193692642707926,0.008160638915969343,0.5192627940883493,0.0035216642050635363,0.0014377133913049654,0.5194 ± 0.0082,0.5193 ± 0.0035
ls,4.7,35,6,10602,155.05346208675064,31.249953850229247,0.5125844053138133,0.013604370862177003,0.5131041242135284,0.004623528486505334,0.001887547600526776,0.5126 ± 0.0136,0.5131 ± 0.0046
ls,4.8,89,6,34957,191.24992254858395,23.876041164348738,0.48774672953214276,0.025482530116183514,0.4874597179894848,0.012583632153372997,0.005137246314440624,0.4877 ± 0.0255,0.4875 ± 0.0126
ls_asym_p,4.2,6,6,549,17.35094042570021,6.649021029245177,0.18997725444555016,0.00716561281011014,0.18997725444555016,0.00716561281011014,0.0029253491798534206,0.19 ± 0.0072,0.19 ± 0.0072
ls_asym_p,4.3,6,6,528,15.987963673183998,2.0252585508780703,0.1822711288735455,0.010001730772537609,0.1822711288735455,0.010001730772537609,0.004083189489568295,0.1823 ± 0.01,0.1823 ± 0.01
ls_asym_p,4.4,6,6,547,17.077910058049053,5.5870964692718985,0.18721561987030821,0.008602837301657718,0.18721561987030821,0.008602837301657718,0.0035120936215405165,0.1872 ± 0.0086,0.1872 ± 0.0086
ls_asym_p,4.5,7,6,661,33.827088329726884,12.325085614890481,0.35929967356748066,0.015998906934007254,0.3584820862002851,0.017071228147373885,0.006969299707283968,0.3593 ± 0.016,0.3585 ± 0.0171
ls_asym_p,4.6,44,6,8130,96.41523300990285,41.11272071375259,0.5233666622044736,0.023736940122048415,0.5184406005356575,0.0185524852592881,0.0075740203909603785,0.5234 ± 0.0237,0.5184 ± 0.0186
