stage,subject,session_idx,date,better_rate,n_fc
4.6,WT1,0,2019-12-20 16:00:06,0.3150684931506849,73
4.6,WT1,1,2019-12-21 09:33:10,0.46153846153846156,117
4.6,WT1,2,2019-12-23 09:30:55,0.5126050420168067,119
4.6,WT1,3,2019-12-24 09:39:26,0.5985401459854015,137
4.6,WT1,4,2019-12-25 09:38:22,0.6666666666666666,144
4.6,WT2,0,2019-12-18 17:03:09,0.4788732394366197,71
4.6,WT2,1,2019-12-19 10:20:58,0.375,48
4.6,WT2,2,2019-12-19 17:05:45,0.4482758620689655,87
4.6,WT2,3,2019-12-20 10:14:50,0.47435897435897434,78
4.6,WT2,4,2019-12-20 17:00:08,0.4230769230769231,78
4.6,WT2,5,2019-12-21 11:14:23,0.375886524822695,141
4.6,WT2,6,2019-12-23 11:36:56,0.5752688172043011,186
4.6,WT2,7,2019-12-24 11:23:40,0.5406698564593302,209
4.6,WT2,8,2019-12-25 11:35:03,0.5671641791044776,134
4.6,WT2,9,2019-12-26 11:23:18,0.46153846153846156,195
4.6,WT2,10,2019-12-27 11:07:56,0.562015503875969,258
4.6,WT3,0,2019-12-19 11:09:28,0.2909090909090909,55
4.6,WT3,1,2019-12-19 18:00:01,0.5510204081632653,49
4.6,WT3,2,2019-12-20 11:16:09,0.4067796610169492,59
4.6,WT3,3,2019-12-20 18:00:01,0.4117647058823529,119
4.6,WT3,4,2019-12-21 13:01:59,0.39325842696629215,89
4.6,WT3,5,2019-12-23 13:21:20,0.5357142857142857,56
4.6,WT3,6,2019-12-24 13:07:02,0.5208333333333334,96
4.6,WT3,7,2019-12-25 13:14:17,0.5612903225806452,155
4.6,WT3,8,2019-12-26 13:18:41,0.6083333333333333,120
4.6,WT3,9,2019-12-27 13:18:05,0.49214659685863876,191
4.6,WT3,10,2019-12-28 13:12:36,0.5421052631578948,190
4.6,WT4,0,2020-03-14 16:00:01,0.45652173913043476,92
4.6,WT4,1,2020-03-16 09:31:49,0.42857142857142855,98
4.6,WT4,2,2020-03-17 09:32:52,0.4482758620689655,116
4.6,WT4,3,2020-03-18 09:06:51,0.23134328358208955,134
4.6,WT4,4,2020-03-19 09:01:39,0.544973544973545,189
4.6,WT4,5,2020-03-20 09:29:03,0.5414634146341464,205
4.6,WT5,0,2020-03-14 17:00:26,0.4945054945054945,91
4.6,WT5,1,2020-03-16 11:08:06,0.09090909090909091,110
4.6,WT5,2,2020-03-17 11:10:20,0.5130434782608696,115
4.6,WT5,3,2020-03-18 11:05:06,0.1346153846153846,52
4.6,WT5,4,2020-03-19 11:05:09,0.24060150375939848,133
