subject,stage,session_idx,date,trans_type,n_trials,stay_rew_com,stay_rew_rare,stay_unrew_com,stay_unrew_rare
WT1,4.6,0,2019-12-20 16:00:06,A,97,0.11764705882352941,0.5714285714285714,0.6428571428571429,0.0
WT1,4.6,1,2019-12-21 09:33:10,A,157,0.5909090909090909,0.3,0.5555555555555556,0.625
WT1,4.6,2,2019-12-23 09:30:55,A,215,0.5,0.3,0.3953488372093023,0.6666666666666666
WT1,4.6,3,2019-12-24 09:39:26,A,207,0.5370370370370371,0.18181818181818182,0.6052631578947368,0.5555555555555556
WT1,4.6,4,2019-12-25 09:38:22,A,247,0.6417910447761194,0.3333333333333333,0.5116279069767442,0.6363636363636364
WT2,4.6,0,2019-12-18 17:03:09,B,96,0.42857142857142855,0.0,0.5217391304347826,0.6666666666666666
WT2,4.6,1,2019-12-19 10:20:58,B,64,0.4666666666666667,0.6,0.6153846153846154,0.0
WT2,4.6,2,2019-12-19 17:05:45,B,115,0.43478260869565216,0.6666666666666666,0.5333333333333333,0.5714285714285714
WT2,4.6,3,2019-12-20 10:14:50,B,104,0.5294117647058824,0.75,0.4444444444444444,0.5555555555555556
WT2,4.6,4,2019-12-20 17:00:08,B,104,0.4230769230769231,0.6,0.7727272727272727,
WT2,4.6,5,2019-12-21 11:14:23,B,189,0.45161290322580644,0.9285714285714286,0.5434782608695652,0.3333333333333333
WT2,4.6,6,2019-12-23 11:36:56,B,271,0.515625,0.125,0.39215686274509803,0.6
WT2,4.6,7,2019-12-24 11:23:40,B,297,0.5606060606060606,0.4,0.5689655172413793,0.5
WT2,4.6,8,2019-12-25 11:35:03,B,203,0.574468085106383,0.2,0.5581395348837209,0.8181818181818182
WT2,4.6,9,2019-12-26 11:23:18,B,284,0.39344262295081966,0.631578947368421,0.41509433962264153,0.5882352941176471
WT2,4.6,10,2019-12-27 11:07:56,B,368,0.5172413793103449,0.3,0.5857142857142857,0.391304347826087
WT3,4.6,0,2019-12-19 11:09:28,A,73,0.21428571428571427,0.8571428571428571,0.7333333333333333,0.75
WT3,4.6,1,2019-12-19 18:00:01,A,66,0.5384615384615384,0.25,0.4166666666666667,0.5
WT3,4.6,2,2019-12-20 11:16:09,A,107,0.47368421052631576,0.42857142857142855,0.6153846153846154,0.5
WT3,4.6,3,2019-12-20 18:00:01,A,159,0.6086956521739131,0.8888888888888888,0.5121951219512195,0.8333333333333334
WT3,4.6,4,2019-12-21 13:01:59,A,146,0.5652173913043478,0.6666666666666666,0.5555555555555556,0.8
WT3,4.6,5,2019-12-23 13:21:20,A,99,0.5,1.0,0.5217391304347826,0.75
WT3,4.6,6,2019-12-24 13:07:02,A,154,0.5294117647058824,0.5,0.47058823529411764,0.875
WT3,4.6,7,2019-12-25 13:14:17,A,256,0.5178571428571429,0.25,0.4339622641509434,0.5
WT3,4.6,8,2019-12-26 13:18:41,A,182,0.6,0.8,0.3939393939393939,0.5
WT3,4.6,9,2019-12-27 13:18:05,A,279,0.45901639344262296,0.21428571428571427,0.609375,0.5
WT3,4.6,10,2019-12-28 13:12:36,A,309,0.7246376811594203,0.5625,0.5909090909090909,0.625
WT4,4.6,0,2020-03-14 16:00:01,B,123,0.6296296296296297,0.5,0.6785714285714286,0.25
WT4,4.6,1,2020-03-16 09:31:49,B,131,0.5,0.6666666666666666,0.3548387096774194,0.3333333333333333
WT4,4.6,2,2020-03-17 09:32:52,B,184,0.5641025641025641,0.5,0.7317073170731707,0.42857142857142855
WT4,4.6,3,2020-03-18 09:06:51,B,179,0.48148148148148145,0.8461538461538461,0.7924528301886793,0.16666666666666666
WT4,4.6,4,2020-03-19 09:01:39,B,281,0.6290322580645161,0.5,0.6101694915254238,0.7222222222222222
WT4,4.6,5,2020-03-20 09:29:03,B,321,0.5441176470588235,0.7222222222222222,0.5714285714285714,0.6956521739130435
WT5,4.6,0,2020-03-14 17:00:26,A,121,0.4583333333333333,0.14285714285714285,0.42857142857142855,0.3333333333333333
WT5,4.6,1,2020-03-16 11:08:06,A,146,0.5,0.9230769230769231,0.8913043478260869,0.8333333333333334
WT5,4.6,2,2020-03-17 11:10:20,A,179,0.5813953488372093,0.8,0.4594594594594595,0.8333333333333334
WT5,4.6,3,2020-03-18 11:05:06,A,70,0.8,1.0,0.8461538461538461,1.0
WT5,4.6,4,2020-03-19 11:05:09,A,178,0.3181818181818182,0.8181818181818182,0.8035714285714286,0.2857142857142857
WT5,4.6,5,2020-03-20 11:21:48,A,224,0.6274509803921569,0.5,0.660377358490566,0.4444444444444444
WT5,4.6,6,2020-03-21 11:17:38,A,182,0.4722222222222222,0.2222222222222222,0.5,0.5714285714285714
WT5,4.6,7,2020-03-23 10:56:03,A,146,0.6071428571428571,1.0,0.6052631578947368,0.16666666666666666
WT5,4.6,8,2020-03-24 11:17:48,A,289,0.5945945945945946,0.5,0.4230769230769231,0.5882352941176471
WT6,4.6,0,2020-03-20 13:00:34,B,227,0.6521739130434783,0.3,0.6938775510204082,0.6153846153846154
WT6,4.6,1,2020-03-21 12:53:00,B,301,0.7611940298507462,0.5625,0.7903225806451613,0.8235294117647058
WT1,4.7,0,2019-12-26 09:42:54,A,229,0.7916666666666666,0.625,0.6756756756756757,0.5789473684210527
WT1,4.7,1,2019-12-27 09:25:53,A,197,0.6923076923076923,0.75,0.6170212765957447,0.7142857142857143
WT1,4.7,2,2019-12-28 09:37:17,A,224,0.8723404255319149,0.8571428571428571,0.8301886792452831,0.6666666666666666
WT1,4.7,3,2019-12-30 09:23:18,A,168,0.8648648648648649,0.4,0.5,0.7
WT1,4.7,4,2019-12-31 09:49:32,A,263,0.8392857142857143,0.3,0.6181818181818182,0.4
WT1,4.7,5,2020-01-01 09:02:33,A,302,0.704225352112676,0.3076923076923077,0.5,0.75
WT1,4.7,6,2020-01-02 09:19:31,A,297,0.8043478260869565,0.3888888888888889,0.6944444444444444,0.6086956521739131
WT1,4.7,7,2020-01-03 09:14:07,A,266,0.828125,0.4,0.723404255319149,0.6875
WT1,4.7,8,2020-01-04 09:15:57,A,344,0.7906976744186046,0.2631578947368421,0.4745762711864407,0.5909090909090909
WT1,4.7,9,2020-01-06 09:09:05,A,279,0.8676470588235294,0.4375,0.66,0.6875
WT2,4.7,0,2019-12-28 11:25:17,B,354,0.6666666666666666,0.4166666666666667,0.5882352941176471,0.6153846153846154
WT2,4.7,1,2019-12-30 11:12:59,B,339,0.6666666666666666,0.1875,0.5,0.68
WT3,4.7,0,2019-12-30 13:00:32,A,208,0.6122448979591837,0.5,0.4523809523809524,0.5555555555555556
WT3,4.7,1,2019-12-31 13:21:37,A,274,0.7936507936507936,0.5833333333333334,0.6785714285714286,0.625
WT3,4.7,2,2020-01-01 13:07:32,A,350,0.8505747126436781,0.21428571428571427,0.59375,0.5652173913043478
WT4,4.7,0,2020-03-21 09:12:39,B,259,0.6724137931034483,0.5833333333333334,0.4838709677419355,0.8571428571428571
WT4,4.7,1,2020-03-23 09:08:59,B,254,0.5849056603773585,0.5833333333333334,0.5636363636363636,0.6923076923076923
